Age Group,Minimum Rate,Maximum Rate,CSV File Name (Minimum Rate),CSV File Name (Maximum Rate)
79,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
80,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
81,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
82,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
83,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
84,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
85,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
86,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
87,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
88,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
89,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
90,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
91,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
92,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
93,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
94,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
95,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
96,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
97,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
98,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
99,0.71,0.75,program_a2-c27-02.csv,program_a16-c15-01.csv
