Age Group,Minimum Rate,Maximum Rate,CSV File Name (Minimum Rate),CSV File Name (Maximum Rate)
53,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
54,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
55,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
56,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
57,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
58,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
59,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
60,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
61,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
62,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
63,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
64,0.28,0.48,program_a2-c4-04.csv,program_a24-c4-05.csv
65,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
66,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
67,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
68,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
69,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
70,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
71,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
72,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
73,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
74,0.5,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
75,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
76,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
77,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
78,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
79,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
80,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
81,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
82,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
83,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
84,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
85,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
86,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
87,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
88,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
89,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
90,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
91,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
92,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
93,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
94,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
95,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
96,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
97,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
98,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
99,0.71,0.75,program_a2-c4-04.csv,program_a24-c4-05.csv
